r,theta,mass
0.06,0.63,0.551431
0.06,0.64,0.550527
0.06,0.65,0.550623
0.06,0.66,0.551347
0.06,0.67,0.551172
0.06,0.68,0.551973
0.06,0.69,0.551679
0.06,0.7,0.552345
0.06,0.71,0.551504
0.06,0.72,0.552933
0.06,0.73,0.553485
0.06,0.74,0.552722
0.06,0.75,0.552998
0.06,0.76,0.552619
0.06,0.77,0.552936
0.06,0.78,0.553291
0.07,0,0.548821
0.07,0.01,0.548093
0.07,0.02,0.547502
0.07,0.03,0.546954
0.07,0.04,0.549021
0.07,0.05,0.546219
0.07,0.06,0.546632
0.07,0.07,0.547729
0.07,0.08,0.546655
0.07,0.09,0.546466
0.07,0.1,0.547074
0.07,0.11,0.546468
0.07,0.12,0.546325
0.07,0.13,0.546307
0.07,0.14,0.545672
0.07,0.15,0.546729
0.07,0.16,0.546364
0.07,0.17,0.546264
0.07,0.18,0.546028
0.07,0.19,0.545585
0.07,0.2,0.546221
0.07,0.21,0.545227
0.07,0.22,0.544572
0.07,0.23,0.545422
0.07,0.24,0.545949
0.07,0.25,0.545209
0.07,0.26,0.545516
0.07,0.27,0.545049
0.07,0.28,0.545599
0.07,0.29,0.546394
0.07,0.3,0.544788
0.07,0.31,0.544879
0.07,0.32,0.543796
0.07,0.33,0.547061
0.07,0.34,0.545303
0.07,0.35,0.54385
0.07,0.36,0.545544
0.07,0.37,0.544701
0.07,0.38,0.544327
0.07,0.39,0.544445
0.07,0.4,0.544883
0.07,0.41,0.54499
0.07,0.42,0.5451
0.07,0.43,0.543943
0.07,0.44,0.544662
0.07,0.45,0.545335
0.07,0.46,0.544419
0.07,0.47,0.544752
0.07,0.48,0.544407
0.07,0.49,0.544755
0.07,0.5,0.544709
0.07,0.51,0.545125
0.07,0.52,0.544036
0.07,0.53,0.545713
0.07,0.54,0.545993
0.07,0.55,0.54581
0.07,0.56,0.544708
0.07,0.57,0.54596
0.07,0.58,0.545333
0.07,0.59,0.546406
0.07,0.6,0.544895
0.07,0.61,0.546163
0.07,0.62,0.546413
0.07,0.63,0.545863
0.07,0.64,0.545835
0.07,0.65,0.546344
0.07,0.66,0.546722
0.07,0.67,0.546992
0.07,0.68,0.546686
0.07,0.69,0.546508
0.07,0.7,0.546203
0.07,0.71,0.54721
0.07,0.72,0.547488
0.07,0.73,0.547433
0.07,0.74,0.547718
0.07,0.75,0.547882
0.07,0.76,0.548486
0.07,0.77,0.548753
0.07,0.78,0.548372
0.08,0,0.543211
0.08,0.01,0.543604
0.08,0.02,0.543208
0.08,0.03,0.543614
0.08,0.04,0.543018
0.08,0.05,0.541696
0.08,0.06,0.542838
0.08,0.07,0.542372
0.08,0.08,0.542083
0.08,0.09,0.541895
0.08,0.1,0.542126
0.08,0.11,0.541813
0.08,0.12,0.54189
0.08,0.13,0.539984
0.08,0.14,0.54097
0.08,0.15,0.540864
0.08,0.16,0.541637
0.08,0.17,0.541461
0.08,0.18,0.540614
0.08,0.19,0.539734
0.08,0.2,0.54021
0.08,0.21,0.540069
0.08,0.22,0.540516
0.08,0.23,0.539548
0.08,0.24,0.5404
0.08,0.25,0.540392
0.08,0.26,0.539624
0.08,0.27,0.539833
0.08,0.28,0.539809
0.08,0.29,0.540134
0.08,0.3,0.539611
0.08,0.31,0.539571
0.08,0.32,0.538728
0.08,0.33,0.539878
0.08,0.34,0.540199
0.08,0.35,0.538708
0.08,0.36,0.539673
0.08,0.37,0.540117
0.08,0.38,0.539382
0.08,0.39,0.53875
0.08,0.4,0.538867
