x,y,mass
0.05,0.48,0.504404
0.05,0.49,0.504636
0.05,0.5,0.504198
0.05,0.51,0.504582
0.05,0.52,0.505265
0.05,0.53,0.504921
0.05,0.54,0.50575
0.05,0.55,0.505338
0.05,0.56,0.506069
0.05,0.57,0.507324
0.05,0.58,0.507738
0.05,0.59,0.508459
0.05,0.6,0.508415
0.05,0.61,0.509159
0.05,0.62,0.510833
0.05,0.63,0.511496
0.05,0.64,0.512186
0.05,0.65,0.513148
0.05,0.66,0.514549
0.05,0.67,0.515326
0.05,0.68,0.515046
0.05,0.69,0.518367
0.05,0.7,0.518637
0.05,0.71,0.520863
0.05,0.72,0.521531
0.05,0.73,0.524527
0.05,0.74,0.525249
0.05,0.75,0.527647
0.05,0.76,0.528951
0.05,0.77,0.530683
0.05,0.78,0.532503
0.05,0.79,0.53295
0.05,0.8,0.535122
0.05,0.81,0.537729
0.05,0.82,0.538757
0.05,0.83,0.541261
0.05,0.84,0.542061
0.05,0.85,0.545202
0.05,0.86,0.547463
0.05,0.87,0.548952
0.05,0.88,0.550568
0.05,0.89,0.55251
0.05,0.9,0.555099
0.05,0.91,0.556355
0.05,0.92,0.558235
0.05,0.93,0.56145
0.05,0.94,0.563126
0.05,0.95,0.56441
0.05,0.96,0.566158
0.05,0.97,0.567831
0.05,0.98,0.570235
0.05,0.99,0.572867
0.06,0,0.571625
0.06,0.01,0.570763
0.06,0.02,0.568431
0.06,0.03,0.566414
0.06,0.04,0.564809
0.06,0.05,0.562022
0.06,0.06,0.56063
0.06,0.07,0.558266
0.06,0.08,0.556659
0.06,0.09,0.55411
0.06,0.1,0.552267
0.06,0.11,0.549429
0.06,0.12,0.547855
0.06,0.13,0.547359
0.06,0.14,0.54408
0.06,0.15,0.541342
0.06,0.16,0.540222
0.06,0.17,0.538225
0.06,0.18,0.537068
0.06,0.19,0.533867
0.06,0.2,0.531933
0.06,0.21,0.530778
0.06,0.22,0.529178
0.06,0.23,0.526608
0.06,0.24,0.525185
0.06,0.25,0.523636
0.06,0.26,0.520824
0.06,0.27,0.519425
0.06,0.28,0.51822
0.06,0.29,0.51714
0.06,0.3,0.515646
0.06,0.31,0.51402
0.06,0.32,0.511691
0.06,0.33,0.512918
0.06,0.34,0.510942
0.06,0.35,0.508874
0.06,0.36,0.508654
0.06,0.37,0.508115
0.06,0.38,0.507114
0.06,0.39,0.505541
0.06,0.4,0.50377
0.06,0.41,0.504519
0.06,0.42,0.503885
0.06,0.43,0.502328
0.06,0.44,0.502139
0.06,0.45,0.501206
0.06,0.46,0.50113
0.06,0.47,0.500043
0.06,0.48,0.50115
0.06,0.49,0.501279
0.06,0.5,0.500939
0.06,0.51,0.499268
0.06,0.52,0.500735
0.06,0.53,0.500913
0.06,0.54,0.502451
0.06,0.55,0.50245
0.06,0.56,0.502335
0.06,0.57,0.50313
0.06,0.58,0.502361
0.06,0.59,0.503962
0.06,0.6,0.504096
0.06,0.61,0.505321
0.06,0.62,0.507018
0.06,0.63,0.506927
0.06,0.64,0.508628
0.06,0.65,0.509879
0.06,0.66,0.510308
0.06,0.67,0.51096
0.06,0.68,0.513327
0.06,0.69,0.514059
0.06,0.7,0.515628
0.06,0.71,0.516774
0.06,0.72,0.519095
0.06,0.73,0.520027
0.06,0.74,0.522182
0.06,0.75,0.52384
0.06,0.76,0.525818
0.06,0.77,0.527358
0.06,0.78,0.528073
0.06,0.79,0.529393
0.06,0.8,0.532596
0.06,0.81,0.534198
0.06,0.82,0.536476
0.06,0.83,0.538365
0.06,0.84,0.540735
0.06,0.85,0.542952
0.06,0.86,0.544006
0.06,0.87,0.546372
0.06,0.88,0.547997
0.06,0.89,0.549416
0.06,0.9,0.552595
0.06,0.91,0.555461
0.06,0.92,0.556442
0.06,0.93,0.559259
0.06,0.94,0.561087
0.06,0.95,0.562535
0.06,0.96,0.565683
0.06,0.97,0.566852
0.06,0.98,0.568401
0.06,0.99,0.570038
0.07,0,0.570391
0.07,0.01,0.568262
0.07,0.02,0.567504
0.07,0.03,0.565558
0.07,0.04,0.562923
0.07,0.05,0.561059
0.07,0.06,0.558694
0.07,0.07,0.556661
0.07,0.08,0.554016
0.07,0.09,0.551724
0.07,0.1,0.550937
0.07,0.11,0.546855
0.07,0.12,0.545472
0.07,0.13,0.544139
0.07,0.14,0.54169
0.07,0.15,0.538702
0.07,0.16,0.537295
0.07,0.17,0.53524
0.07,0.18,0.533409
0.07,0.19,0.532401
0.07,0.2,0.52926
0.07,0.21,0.526998
0.07,0.22,0.525861
0.07,0.23,0.523372
0.07,0.24,0.522424
0.07,0.25,0.520321
0.07,0.26,0.518846
0.07,0.27,0.516294
0.07,0.28,0.515635
0.07,0.29,0.513786
0.07,0.3,0.511382
0.07,0.31,0.509504
0.07,0.32,0.50861
0.07,0.33,0.508129
0.07,0.34,0.506285
0.07,0.35,0.506217
0.07,0.36,0.505052
0.07,0.37,0.503107
0.07,0.38,0.502147
0.07,0.39,0.501784
0.07,0.4,0.500934
0.07,0.41,0.499373
0.07,0.42,0.499472
0.07,0.43,0.498622
0.07,0.44,0.497432
0.07,0.45,0.497912
0.07,0.46,0.496752
0.07,0.47,0.496736
0.07,0.48,0.496109
0.07,0.49,0.497169
0.07,0.5,0.49749
0.07,0.51,0.496965
0.07,0.52,0.496763
0.07,0.53,0.496408
0.07,0.54,0.496822
0.07,0.55,0.496882
0.07,0.56,0.498495
0.07,0.57,0.498164
0.07,0.58,0.498894
0.07,0.59,0.500342
0.07,0.6,0.49959
0.07,0.61,0.501105
0.07,0.62,0.503085
0.07,0.63,0.502314
0.07,0.64,0.505615
0.07,0.65,0.505562
0.07,0.66,0.50641
0.07,0.67,0.506807
0.07,0.68,0.509945
0.07,0.69,0.511168
0.07,0.7,0.512059
0.07,0.71,0.513546
0.07,0.72,0.514729
0.07,0.73,0.515931
0.07,0.74,0.51776
0.07,0.75,0.520127
0.07,0.76,0.522318
0.07,0.77,0.523253
0.07,0.78,0.524905
0.07,0.79,0.52723
0.07,0.8,0.528944
0.07,0.81,0.531758
0.07,0.82,0.533584
0.07,0.83,0.535687
0.07,0.84,0.537643
0.07,0.85,0.540002
0.07,0.86,0.541729
0.07,0.87,0.542987
0.07,0.88,0.54554
0.07,0.89,0.547526
0.07,0.9,0.55023
0.07,0.91,0.551793
0.07,0.92,0.553806
0.07,0.93,0.556075
0.07,0.94,0.55842
0.07,0.95,0.560917
0.07,0.96,0.563607
0.07,0.97,0.564538
0.07,0.98,0.566314
0.07,0.99,0.5695
